id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
010100,"43,364","21,388",322,161,"20,905",130,"4,018",34,293,51,603,"1,597",772,"13,077",330
010200,"22,753","10,922",162,103,"10,657",70,"1,714",30,148,31,361,893,398,"6,816",196
010300,"27,851","13,727",215,138,"13,374",115,"1,886",33,132,27,319,"1,108",456,"9,119",179
010400,"20,676","10,922",115,65,"10,742",78,"1,324",23,59,29,659,710,290,"7,446",124
010500,"70,408","35,616",558,298,"34,760",395,"7,205",66,587,96,"1,050","3,474",998,"19,905",984
010600,"14,559","7,468",58,85,"7,325",34,"1,347",12,60,9,"1,025",571,357,"3,846",64
010700,"30,195","16,674",236,142,"16,296",142,"3,901",46,558,74,450,"1,688",780,"8,226",431
010800,"24,431","11,435",163,91,"11,181",80,"2,040",32,256,50,454,"1,006",408,"6,690",165
010900,"126,285","62,122",752,605,"60,765",386,"11,707",143,968,230,"2,639","6,298","3,381","33,671","1,342"
011000,"36,133","15,662",253,141,"15,268",149,"2,697",40,193,39,535,"1,552",559,"9,123",381
011100,"18,652","8,520",137,70,"8,313",48,"1,978",19,199,19,265,"1,029",553,"4,060",143
011200,"9,840","3,889",37,34,"3,818",31,461,9,33,7,137,273,108,"2,716",43
011300,"60,901","32,219",361,306,"31,552",233,"6,290",72,328,98,"1,392","2,670","1,330","18,630",509
011400,"21,077","10,416",144,72,"10,200",52,962,12,76,21,241,571,207,"7,895",163
011500,"50,182","24,473",291,221,"23,961",177,"5,491",61,656,68,791,"2,971","1,070","12,129",547
011600,"20,310","11,674",193,95,"11,386",85,"2,578",26,298,58,326,"1,078",597,"6,022",318
011700,"11,472","6,465",69,61,"6,335",35,773,11,41,16,217,379,159,"4,604",100
011800,"22,364","10,111",108,79,"9,924",70,812,21,45,17,263,598,173,"7,756",169
011900,"22,016","12,272",162,170,"11,940",87,"1,965",18,99,43,569,926,400,"7,649",184
