cx,cy,r,party,partyIndex
5,168.75,5,BE,0
17.51,168.75,5,BE,1
30.02,168.75,5,BE,2
42.53,168.75,5,BE,3
55.04,168.75,5,BE,4
67.55,168.75,5,BE,5
80.06,168.75,5,BE,6
92.58,168.76,5,BE,7
5.89,155.78,5,BE,8
18.55,155.06,5,BE,9
31.16,155,5,BE,10
43.78,154.94,5,BE,11
56.44,154.87,5,BE,12
69.14,154.78,5,BE,13
7.77,142.92,5,BE,14
81.89,154.66,5,BE,15
20.79,141.51,5,BE,16
33.61,141.43,5,BE,17
94.74,154.51,5,BE,18
46.49,141.34,5,PCP,0
10.64,130.24,5,PEV,0
59.47,141.24,5,PCP,1
24.22,128.2,5,PEV,1
72.56,141.13,5,PCP,2
37.35,128.15,5,PCP,3
14.47,117.81,5,PS,0
50.62,128.1,5,PCP,4
85.83,141,5,PCP,5
28.79,115.25,5,PS,1
64.07,128.07,5,PCP,6
19.25,105.72,5,PS,2
99.38,140.87,5,PCP,7
42.35,115.29,5,PS,3
77.76,128.06,5,PCP,8
56.13,115.38,5,PS,4
34.49,102.76,5,PS,5
24.94,94.04,5,PS,6
91.79,128.1,5,PCP,9
70.18,115.52,5,PS,7
48.56,102.98,5,PS,8
41.26,90.81,5,PS,9
62.94,103.3,5,PS,10
31.52,82.82,5,PS,11
84.63,115.79,5,PS,12
106.36,128.26,5,PS,13
55.92,91.31,5,PS,14
77.73,103.78,5,PS,15
38.94,72.15,5,PS,16
49.06,79.5,5,PS,17
99.64,116.25,5,L,0
70.99,92.01,5,PS,18
64.36,80.4,5,PS,19
93.07,104.53,5,PS,20
47.16,62.08,5,PS,21
57.82,68.92,5,PS,22
86.6,93.01,5,PS,23
115.45,117.09,5,PS,24
80.19,81.63,5,PS,25
56.14,52.67,5,PS,26
73.82,70.35,5,PS,27
109.18,105.72,5,PS,28
67.47,59.15,5,PS,29
102.92,94.49,5,PS,30
96.68,83.35,5,PS,31
65.81,43.98,5,PS,32
90.43,72.28,5,PS,33
84.19,61.26,5,PS,34
77.94,50.26,5,PS,35
126.37,107.69,5,PS,36
76.12,36.06,5,PS,37
120.2,96.75,5,PS,38
114.02,85.83,5,PS,39
107.81,74.94,5,PS,40
101.6,64.06,5,PS,41
95.38,53.19,5,PS,42
89.16,42.33,5,PS,43
87,28.96,5,PS,44
101.03,35.42,5,PS,45
107.3,46.24,5,PS,46
113.58,57.07,5,PS,47
119.86,67.9,5,PS,48
126.15,78.72,5,PS,49
98.41,22.72,5,PS,50
132.46,89.55,5,PS,51
138.79,100.37,5,PS,52
113.45,29.57,5,PS,53
110.26,17.37,5,PS,54
119.83,40.47,5,PS,55
126.22,51.38,5,PS,56
132.65,62.31,5,PS,57
139.12,73.28,5,PS,58
122.49,12.95,5,PS,59
126.35,24.84,5,PS,60
145.66,84.28,5,PS,61
132.85,35.92,5,PS,62
152.29,95.36,5,PS,63
139.4,47.06,5,PS,64
146.01,58.27,5,PS,65
135.02,9.49,5,PS,66
139.61,21.26,5,PS,67
152.7,69.59,5,PS,68
146.25,32.64,5,PS,69
152.96,44.15,5,PS,70
147.78,7,5,PS,71
159.51,81.08,5,PS,72
153.13,18.86,5,PS,73
159.75,55.82,5,PS,74
159.9,30.66,5,PS,75
166.48,92.82,5,PS,76
160.69,5.5,5,PS,77
166.65,67.73,5,PS,78
166.75,42.68,5,PS,79
166.81,17.65,5,PS,80
